person_id,judge_flag,position,status,disclosures_count,name_first,name_middle,name_last,political_affiliations,race,date_nominated,date_start,date_termination,court_short_name,court_full_name
14101,1,1,judge with 1 position,,Thomas,D.,Long,d,w,,2016-01-22,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14102,1,1,judge with 1 position,,David,A.,Rosen,d,w,,2016-02-29,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14103,1,1,judge with 1 position,,John,Bailie,Scherling,d,w,,2016-01-07,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14104,1,1,judge with 1 position,,Christopher,C.,Hite,d,b,,2016-01-08,,"California Superior Court, San Francisco County","Superior Court of California, County of San Francisco"
14105,1,2,judge with multiple positions,,Kristine,Alane-Cour,Eagle,d,w,,2015-12-23,,"California Superior Court, San Joaquin County","Superior Court of California, County of San Joaquin"
14106,1,1,judge with 1 position,,Kelly,Chong,Mok,d,a,,2016-02-10,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14107,1,1,judge with 1 position,,Kira,Lee,Klatchko,d,w,,2017-02-17,,"California Superior Court, Riverside County","Superior Court of California, County of Riverside"
14108,1,1,judge with 1 position,,Lupe,C.,Garcia,d,h,,2016-09-06,,"California Superior Court, Alameda County","Superior Court of California, County of Alameda"
14109,1,1,judge with 1 position,,Layne,Hamilton,Melzer,d,w,,2016-09-01,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14110,1,1,judge with 1 position,,Gary,Michael,Pohlson,d,w,,2016-08-13,,"California Superior Court, Orange County","Superior Court of California, County of Orange"
14111,1,1,judge with 1 position,,Frank,L.,Birchak,d,w,,2016-07-06,,"California Superior Court, San Diego County","Superior Court of California, County of San Diego"
14112,1,1,judge with 1 position,,John,P.,Bianco,r,h,,2016-08-08,,"California Superior Court, Tulare County","Superior Court of California, County of Tulare"
14113,1,1,judge with 1 position,,Nathan,Gehr,Leedy,d,w,,2016-08-01,,"California Superior Court, Tulare County","Superior Court of California, County of Tulare"
14114,1,1,judge with 1 position,,Maria,Andrea,Davalos,d,h,,2016-08-11,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
14115,1,1,judge with 1 position,,Dean,H.,Hansell,d,w,,2016-08-15,,"California Superior Court, Los Angeles County","Superior Court of California, County of Los Angeles"
